firm,crste,vrste,scale,label
444,0.194,0.495,0.392,drs
445,0.212,0.493,0.430,drs
446,0.192,0.490,0.391,drs
447,0.185,0.463,0.399,drs
448,0.182,0.468,0.388,drs
449,0.150,0.470,0.319,drs
450,0.145,0.473,0.307,drs
451,0.072,1.000,0.072,irs
452,0.071,1.000,0.071,irs
453,0.053,0.130,0.406,irs
454,0.042,0.076,0.559,irs
455,0.041,1.000,0.041,irs
456,0.036,0.138,0.259,irs
457,0.031,0.041,0.763,irs
458,0.033,0.049,0.676,irs
459,0.023,0.027,0.862,irs
460,0.039,1.000,0.039,irs
461,0.027,0.033,0.816,irs
462,0.030,0.037,0.808,irs
463,0.039,0.100,0.391,irs
464,0.035,0.058,0.596,irs
465,0.023,0.025,0.916,irs
466,0.039,0.087,0.443,irs
467,0.036,0.059,0.602,irs
468,0.022,0.022,0.972,irs
469,0.471,0.538,0.877,irs
470,0.357,0.357,0.999,-
471,0.257,0.301,0.853,drs
472,0.269,0.303,0.885,drs
473,0.188,0.288,0.652,drs
474,0.270,0.293,0.922,drs
475,0.165,0.292,0.563,drs
476,0.164,0.292,0.561,drs
477,0.132,0.289,0.457,drs
478,0.125,0.291,0.428,drs
479,0.146,0.296,0.495,drs
480,0.116,0.294,0.396,drs
481,0.111,0.295,0.375,drs
482,0.117,0.294,0.399,drs
483,0.109,0.278,0.391,drs
484,0.103,0.279,0.369,drs
485,0.102,0.281,0.363,drs
486,0.121,0.284,0.425,drs
487,0.371,0.400,0.928,irs
488,0.286,0.291,0.981,irs
489,0.241,0.270,0.895,drs
490,0.230,0.270,0.854,drs
491,0.337,0.380,0.887,irs
492,0.198,0.274,0.723,drs
493,0.208,0.278,0.751,drs
494,0.263,0.281,0.933,drs
495,0.187,0.285,0.657,drs
496,0.121,0.282,0.430,drs
497,0.209,0.290,0.720,drs
498,0.195,0.292,0.668,drs
499,0.134,0.293,0.456,drs
500,0.155,0.294,0.528,drs
501,0.119,0.259,0.461,drs
502,0.113,0.260,0.436,drs
503,0.123,0.263,0.468,drs
504,0.099,0.269,0.369,drs
505,0.089,1.000,0.089,irs
506,0.041,0.044,0.945,irs
507,0.042,0.042,0.999,-
508,0.035,0.036,0.993,-
509,0.036,0.037,0.968,drs
510,0.032,0.037,0.864,drs
511,0.028,0.037,0.749,drs
512,0.029,0.039,0.747,drs
513,0.020,0.038,0.521,drs
514,0.023,0.039,0.593,drs
515,0.023,0.039,0.593,drs
516,0.023,0.039,0.592,drs
517,0.028,0.039,0.709,drs
518,0.025,0.039,0.629,drs
519,0.019,0.039,0.489,drs
520,0.021,0.039,0.537,drs
521,0.020,0.039,0.515,drs
522,0.028,0.040,0.703,drs
523,0.064,0.081,0.794,drs
524,0.066,0.082,0.805,drs
525,0.063,0.077,0.817,drs
526,0.058,0.079,0.733,drs
527,0.041,0.083,0.490,drs
528,0.048,0.084,0.568,drs
529,0.046,0.085,0.543,drs
530,0.035,0.086,0.403,drs
531,0.034,0.085,0.398,drs
532,0.028,0.084,0.332,drs
533,0.030,0.086,0.353,drs
534,0.032,0.085,0.373,drs
535,0.026,0.086,0.298,drs
536,0.034,0.088,0.388,drs
537,0.021,0.077,0.276,drs
538,0.024,0.079,0.308,drs
539,0.021,0.078,0.272,drs
540,0.022,0.079,0.282,drs
541,0.164,0.248,0.659,drs
542,0.119,0.251,0.473,drs
543,0.087,0.256,0.341,drs
544,0.090,0.260,0.346,drs
545,0.085,0.284,0.300,drs
546,0.083,0.303,0.272,drs
547,0.083,0.315,0.262,drs
548,0.085,0.322,0.264,drs
549,0.058,0.336,0.174,drs
550,0.044,0.344,0.128,drs
551,0.065,0.351,0.185,drs
552,0.065,0.372,0.175,drs
553,0.187,0.400,0.467,drs
554,0.064,0.395,0.161,drs
555,0.066,0.396,0.167,drs
556,0.111,0.413,0.268,drs
557,0.067,0.418,0.161,drs
558,0.058,0.422,0.138,drs
